Plant,Treatment,DSI,AUDSC,RFVL
Cowpea,T1,42.5,398.75,1
Cowpea,T2,40,330,0.25
Cowpea,T3,20,205,0.19
Cowpea,T4,10,98.75,0.09
Cowpea,T5,2.5,32.5,0.06
Cowpea,T1,47.5,393.75,1
Cowpea,T2,37.5,350,0.5
Cowpea,T3,25,248.75,0.39
Cowpea,T4,7.5,97.5,0.19
Cowpea,T5,2.5,27.5,0.11
Cowpea,T1,43.75,355.21,1
Cowpea,T2,39.58,295.83,0.37
Cowpea,T3,29.17,220.83,0.29
Cowpea,T4,12.5,107.29,0.14
Cowpea,T5,2.08,33.33,0.09
Tomato,T1,100,1060,1.02
Tomato,T2,80,850,0.78
Tomato,T3,55,435,0.31
Tomato,T4,25,225,0.09
Tomato,T5,15,100.5,0.08
Tomato,T1,100,1020,1.02
Tomato,T2,92,885,0.76
Tomato,T3,65,325,0.3
Tomato,T4,27,185,0.09
Tomato,T5,18,75.5,0.07
Tomato,T1,100,930,1.02
Tomato,T2,78,780,0.79
Tomato,T3,52,345,0.4
Tomato,T4,21,172.5,0.1
Tomato,T5,13,97.5,0.08
